internal_id,entity,CID,has_smiles,degree
2206,CID135403646,CID135403646,True,1
2207,CID135403805,CID135403805,True,1
2208,CID135403821,CID135403821,True,3
2210,CID135409400,CID135409400,True,3
2213,CID135410875,CID135410875,True,105
2215,CID135413494,CID135413494,True,1
2216,CID135413496,CID135413496,True,1
2218,CID135413505,CID135413505,True,1
2220,CID135413523,CID135413523,True,1
2221,CID135413534,CID135413534,True,1
2222,CID135413536,CID135413536,True,257
2224,CID135413539,CID135413539,True,3
2226,CID135415564,CID135415564,True,236
2227,CID135415867,CID135415867,True,1
2228,CID135418940,CID135418940,True,5
2229,CID135419190,CID135419190,True,1
2230,CID135421197,CID135421197,True,33
2231,CID135421442,CID135421442,True,4
2233,CID135430323,CID135430323,True,1
2234,CID135430945,CID135430945,True,2
2235,CID135440386,CID135440386,True,1
2236,CID135440466,CID135440466,True,1
2237,CID135449331,CID135449331,True,1
2239,CID135465539,CID135465539,True,1
2240,CID135473382,CID135473382,True,1
2247,CID135564599,CID135564599,True,2
2248,CID135564631,CID135564631,True,1
2249,CID135564749,CID135564749,True,1
2250,CID135564787,CID135564787,True,2
2251,CID135564864,CID135564864,True,1
2252,CID135564985,CID135564985,True,52
2253,CID135565082,CID135565082,True,1
2256,CID135565596,CID135565596,True,5
2257,CID135565635,CID135565635,True,4
2258,CID135565674,CID135565674,True,3
2261,CID135565981,CID135565981,True,1
2262,CID135567102,CID135567102,True,2
2263,CID135659062,CID135659062,True,1
2265,CID1357397,CID1357397,True,1
2267,CID135985126,CID135985126,True,1
2268,CID1361334,CID1361334,True,4
2270,CID136173253,CID136173253,True,1
2271,CID136216943,CID136216943,True,1
2272,CID136237316,CID136237316,True,1
2275,CID1362865,CID1362865,True,1
2276,CID1367095,CID1367095,True,1
2279,CID13791,CID13791,True,1
2280,CID1383884,CID1383884,True,2
2281,CID138402877,CID138402877,True,1
2282,CID138403267,CID138403267,True,2
2283,CID13943299,CID13943299,True,1
2284,CID13988706,CID13988706,True,98
2285,CID1400,CID1400,True,1
2287,CID14010333,CID14010333,True,1
2288,CID14033269,CID14033269,True,2
2291,CID14240392,CID14240392,True,2
2293,CID1461,CID1461,True,220
2295,CID146571,CID146571,True,1
2298,CID147912,CID147912,True,1
2299,CID148121,CID148121,True,144
2301,CID148177,CID148177,True,3
2302,CID148195,CID148195,True,3
2307,CID149096,CID149096,True,2
2308,CID14957,CID14957,True,1
2310,CID14989,CID14989,True,2
2311,CID150311,CID150311,True,230
2312,CID15057856,CID15057856,True,1
2313,CID150762,CID150762,True,1
2316,CID151118,CID151118,True,1
2318,CID151170,CID151170,True,2
