Olaparib,combination,AZD-8055
Bortezomib,combination,PF-4708671
Luminespib,combination,PF-4708671
Axitinib,combination,Sorafenib
Pictilisib,combination,Sorafenib
Sapitinib,combination,Sorafenib
PD-173074,combination,BI 2536
Pictilisib,combination,BI 2536
Crizotinib,combination,PF-4708671
Cisplatin,combination,PF-4708671
Trametinib,combination,PF-4708671
Vorinostat,combination,PF-4708671
Navitoclax,combination,PF-4708671
Lapatinib,combination,PF-4708671
Sapitinib,combination,BI 2536
MK-2206,combination,BI 2536
AZD-7762,combination,BI 2536
5-Fluorouracil,combination,BI 2536
Axitinib,combination,BI 2536
Olaparib,combination,Tozasertib
Bortezomib,combination,Tozasertib
Palbociclib,combination,Tozasertib
Trametinib,combination,Tozasertib
Docetaxel,combination,Tozasertib
Linsitinib,combination,Tozasertib
Crizotinib,combination,Tozasertib
MK-1775,combination,Tozasertib
Temozolomide,combination,Tozasertib
Cisplatin,combination,Tozasertib
Vorinostat,combination,Tozasertib
Navitoclax,combination,Tozasertib
Gemcitabine,combination,Tozasertib
Luminespib,combination,Tozasertib
Lapatinib,combination,Tozasertib
Nutlin-3a (-),combination,Tozasertib
Taselisib,combination,Tozasertib
Palbociclib,combination,PF-4708671
Docetaxel,combination,PF-4708671
Gemcitabine,combination,PF-4708671
Nutlin-3a (-),combination,PF-4708671
Taselisib,combination,PF-4708671
Temozolomide,combination,PF-4708671
MK-1775,combination,PF-4708671
Linsitinib,combination,PF-4708671
Olaparib,combination,PF-4708671
Olaparib,combination,GSK-269962A
Bortezomib,combination,GSK-269962A
Palbociclib,combination,GSK-269962A
Lapatinib,combination,GSK-269962A
Nutlin-3a (-),combination,GSK-269962A
Taselisib,combination,GSK-269962A
Temozolomide,combination,GSK-269962A
Gemcitabine,combination,GSK-269962A
Trametinib,combination,GSK-269962A
Docetaxel,combination,GSK-269962A
Linsitinib,combination,GSK-269962A
Crizotinib,combination,GSK-269962A
MK-1775,combination,GSK-269962A
Cisplatin,combination,GSK-269962A
Vorinostat,combination,GSK-269962A
Navitoclax,combination,GSK-269962A
Luminespib,combination,GSK-269962A
MK-1775,combination,Uprosertib
Temozolomide,combination,Uprosertib
Cisplatin,combination,Uprosertib
Vorinostat,combination,Uprosertib
Navitoclax,combination,Uprosertib
Olaparib,combination,Uprosertib
Gemcitabine,combination,Uprosertib
Luminespib,combination,Uprosertib
Lapatinib,combination,Uprosertib
Linsitinib,combination,Uprosertib
Trametinib,combination,Uprosertib
Crizotinib,combination,Uprosertib
Bortezomib,combination,Uprosertib
Palbociclib,combination,Uprosertib
Nutlin-3a (-),combination,Uprosertib
Taselisib,combination,Uprosertib
Docetaxel,combination,Uprosertib
5-Fluorouracil,combination,Dabrafenib
PD-173074,combination,Dabrafenib
Pictilisib,combination,Dabrafenib
Axitinib,combination,Dabrafenib
Sapitinib,combination,Dabrafenib
MK-2206,combination,Dabrafenib
AZD-7762,combination,Dabrafenib
Pictilisib,combination,SCH-772984
5-Fluorouracil,combination,SCH-772984
AZD-7762,combination,SCH-772984
Sapitinib,combination,SCH-772984
Axitinib,combination,SCH-772984
MK-2206,combination,SCH-772984
PD-173074,combination,SCH-772984
Palbociclib,combination,Entinostat
Navitoclax,combination,Alpelisib
